time,current,voltage,soc
15,0,0.0,1.0
30,0,3.588179110225,1.0
45,0,3.588179110225,1.0
60,0,3.588179110225,1.0
75,0,3.588179110225,1.0
90,0,3.588179110225,1.0
105,0,3.588179110225,1.0
120,0,3.588179110225,1.0
135,0,3.588179110225,1.0
150,20,3.588179110225,1.0
165,20,3.551179110225,0.9966666666666667
180,20,3.4796760071432202,0.9933333333333334
195,20,3.434706978586111,0.9900000000000001
210,20,3.4009316946185963,0.9866666666666668
225,20,3.3762955049566146,0.9833333333333335
240,20,3.3524552163033037,0.9800000000000002
255,20,3.3328865588249688,0.9766666666666669
270,20,3.3146559860682427,0.9733333333333336
285,20,3.310327497967951,0.9700000000000003
300,20,3.306069881777449,0.966666666666667
315,20,3.3019352827735147,0.9633333333333337
330,20,3.297969787733116,0.9600000000000004
345,20,3.2940172398229546,0.9566666666666671
360,20,3.292532583135114,0.9533333333333338
375,20,3.2912099907877383,0.9500000000000005
390,20,3.2899149570746444,0.9466666666666672
405,20,3.2886425398542225,0.9433333333333339
420,20,3.287370884138319,0.9400000000000006
435,20,3.286099660510488,0.9366666666666673
450,20,3.284828682055336,0.933333333333334
465,0,3.2835684290390703,0.9300000000000007
480,0,3.3231545309568093,0.9300000000000007
495,0,3.3330168930894786,0.9300000000000007
510,0,3.3331526365385566,0.9300000000000007
525,0,3.3331545048824402,0.9300000000000007
540,0,3.333154530597927,0.9300000000000007
555,0,3.3331545309518695,0.9300000000000007
570,0,3.333154530956741,0.9300000000000007
585,0,3.3331545309568082,0.9300000000000007
600,20,3.333154530956809,0.9300000000000007
615,20,3.293154530956809,0.9266666666666674
630,20,3.2830717734637065,0.9233333333333341
645,20,3.2827108746711215,0.9200000000000008
660,20,3.282444518792391,0.9166666666666675
675,20,3.2821800137242723,0.9133333333333342
690,20,3.2819155386603973,0.9100000000000009
705,20,3.2816510665799252,0.9066666666666676
720,20,3.2813865959990127,0.9033333333333343
735,20,3.2811056288522638,0.900000000000001
750,20,3.2808244609986663,0.8966666666666677
